Description	Price	Prime	URL	Stars
hp elitebook folio notebook pc portatile pronto uso display 14 intel core i7 ram 8gb ssd 240gb win 10pro pacchetto libre	189,00 €	No	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MzIzNTQ1MjMzMjI4MDA2OjE3MzI3Mjg0Njg6c3BfYXRmOjMwMDQwNjc0OTg1NTIzMjo6MDo6&url=%2FHP-Elitebook-portatile-Pacchetto-Ricondizionato%2Fdp%2FB095SKYX6C%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732728468%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	3.9
inspiron 15 3520 notebook 15 6 schermo fhd 1920 x 1080 intel core i5 1235u grafica intel uhd 16 gb ram 512 gb ssd windows 11 home italiana nero	449,00 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MzIzNTQ1MjMzMjI4MDA2OjE3MzI3Mjg0Njg6c3BfYXRmOjMwMDIzNTY2MTMxNDIzMjo6MDo6&url=%2FDell-Inspiron-Notebook-i5-1235U-Tastiera%2Fdp%2FB0D188467B%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732728468%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	4.0
inspiron 16 5645 notebook 16 schermo fhd 1920x1200 amd ryzen 7 8840u grafica radeon 16 gb ram 1tb ssd windows 11 home lettore impronte italiana retroilluminata	769,00 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MzIzNTQ1MjMzMjI4MDA2OjE3MzI3Mjg0Njg6c3BfYXRmOjMwMDIzNTY2MTMxNDMzMjo6MDo6&url=%2FDell-Inspiron-Notebook-1920x1200-Retroilluminata%2Fdp%2FB0D186G4HN%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732728468%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	4.4
bvate pc portatile 14 pollici notebook win 11 upto 2 8 ghz 256 gb rom supporta ssd 1tb celeron n4020 2 4g 5g 4 2 usb hdmi italiana membrana senza fili grigio	199,89 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MzIzNTQ1MjMzMjI4MDA2OjE3MzI3Mjg0Njg6c3BfYXRmOjMwMDM2Njg4MDY3MDkzMjo6MDo6&url=%2Fbvate-Portatile-Notebook-lespansione-fili-Grigio%2Fdp%2FB0D8W92FCM%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732728468%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	4.8
pc portatile 14 pollici computer portatile win 11 256 gb rom celeron n4020 2 4g 5g upto 2 8 ghz supporta ssd 1tb 4 2 usb hdmi italiana membrana senza fili argento	199,99 €	Yes	https://www.amazon.it/Portatile-Computer-Supporta-lespansione-Fili-Argento/dp/B0D8W8J3JH/ref=sr_1_5?dib=eyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30&dib_tag=se&keywords=computer&nsdOptOutParam=true&qid=1732728468&sr=8-5	4.8
the imitation game	3,99 €	No	https://www.amazon.it/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.55dc9062-f3e7-4949-8c7b-3892098a4c6e%26ref_%3Ddvm_src_ret_it_xx_s&page-type-id=B09B4V9NZJ&ref=sr_1_6&keywords=computer&dib_tag=se&dib=eyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30&qid=1732728468&sr=8-6	4.5
acer chromebook 314 cb314 2h k227 notebook pc portatile processore mediatek m8183 ram 4 gb ddr4 emmc 64 gb display 14 fhd led lcd scheda grafica mali g72 mp3 chromeos silver	179,00 €	Yes	https://www.amazon.it/Acer-Chromebook-CB314-2H-K227-Portatile-Processore/dp/B0CXTDFLNW/ref=sr_1_7?dib=eyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30&dib_tag=se&keywords=computer&nsdOptOutParam=true&qid=1732728468&sr=8-7	4.2
corsair vengeance lpx ddr4 ram 32gb 2x16gb 3200mhz cl16 intel xmp 2 0 memoria computer nero cmk32gx4m2e3200c16	49,99 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo4MzMyNzQ1MDg0NTkzNzU6MTczMjcyODQ2ODpzcF9zZWFyY2hfdGhlbWF0aWM6OjowOkIwN1JXNlo2OTI6c2VhcmNo&url=%2FCorsair-CMK32GX4M2E3200C16-CORSAIR-VENGEANCE-LPX%2Fdp%2FB07RW6Z692%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%253Aamzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.4uYCT44z-VBQi7BFXMr5t1eWg3WxeJ3J54f4BT9v--XyORHPtjZVHn4q5o7elx2poxT2da9uI_dJlVNRnWkamg.05W2R2_oIwjhjOed0xP_orqiRLW3j-GWUSAmCzrpMdo%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB07RW6Z692%26pd_rd_r%3D9ed98853-09ee-4395-816b-ea325b3e29db%26pd_rd_w%3DD9K6I%26pd_rd_wg%3DbZ1lc%26pf_rd_p%3Dea48cac8-c4fb-47b5-bd35-bf533f3322f7%26pf_rd_r%3D48K72BMZB5EYNC7KSDVB%26qid%3D1732728468%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-da050f4d-60ed-4d5b-91d9-dbfa7be05b60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	4.8
corsair vengeance rgb ddr5 ram 32gb 2x16gb 6000mhz cl36 intel xmp compatibile schede madre intel icue memoria computer nero cmh32gx5m2e6000c36	107,99 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo4MzMyNzQ1MDg0NTkzNzU6MTczMjcyODQ2ODpzcF9zZWFyY2hfdGhlbWF0aWM6OjoxOkIwQlpIVFZITjU6c2VhcmNo&url=%2FCORSAIR-VENGEANCE-6000MHz-Compatibile-Computer%2Fdp%2FB0BZHTVHN5%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%253Aamzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.4uYCT44z-VBQi7BFXMr5t1eWg3WxeJ3J54f4BT9v--XyORHPtjZVHn4q5o7elx2poxT2da9uI_dJlVNRnWkamg.05W2R2_oIwjhjOed0xP_orqiRLW3j-GWUSAmCzrpMdo%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0BZHTVHN5%26pd_rd_r%3D9ed98853-09ee-4395-816b-ea325b3e29db%26pd_rd_w%3DD9K6I%26pd_rd_wg%3DbZ1lc%26pf_rd_p%3Dea48cac8-c4fb-47b5-bd35-bf533f3322f7%26pf_rd_r%3D48K72BMZB5EYNC7KSDVB%26qid%3D1732728468%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-da050f4d-60ed-4d5b-91d9-dbfa7be05b60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	4.8
corsair vengeance rgb pro ddr4 ram 32gb 2x16gb 3200mhz cl16 intel xmp 2 0 memoria computer compatibile icue nero cmw32gx4m2e3200c16	62,99 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo4MzMyNzQ1MDg0NTkzNzU6MTczMjcyODQ2ODpzcF9zZWFyY2hfdGhlbWF0aWM6OjoyOkIwODFYV0xRS1M6c2VhcmNo&url=%2FCORSAIR-Vengeance-32GB-16GB-3200MHz%2Fdp%2FB081XWLQKS%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%253Aamzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.4uYCT44z-VBQi7BFXMr5t1eWg3WxeJ3J54f4BT9v--XyORHPtjZVHn4q5o7elx2poxT2da9uI_dJlVNRnWkamg.05W2R2_oIwjhjOed0xP_orqiRLW3j-GWUSAmCzrpMdo%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB081XWLQKS%26pd_rd_r%3D9ed98853-09ee-4395-816b-ea325b3e29db%26pd_rd_w%3DD9K6I%26pd_rd_wg%3DbZ1lc%26pf_rd_p%3Dea48cac8-c4fb-47b5-bd35-bf533f3322f7%26pf_rd_r%3D48K72BMZB5EYNC7KSDVB%26qid%3D1732728468%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-da050f4d-60ed-4d5b-91d9-dbfa7be05b60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	4.7
