Description	Price	Prime	URL	Stars
"HP Elitebook Folio, Notebook Pc portatile Pronto All'uso, Display 14"", Intel Core i7, Ram 8GB, SSD 240GB, Win 10Pro, Pacchetto Libre Office (Ricondizionato)"	189,00 €	No	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MzIzNTQ1MjMzMjI4MDA2OjE3MzI3Mjg0Njg6c3BfYXRmOjMwMDQwNjc0OTg1NTIzMjo6MDo6&url=%2FHP-Elitebook-portatile-Pacchetto-Ricondizionato%2Fdp%2FB095SKYX6C%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732728468%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	3.9
"Dell Inspiron 15 3520 Notebook 15.6"" Schermo FHD (1920 x 1080), Intel Core i5-1235U, Grafica Intel UHD, 16 GB RAM, 512 GB SSD, Windows 11 Home, Tastiera Italiana, Nero"	449,00 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MzIzNTQ1MjMzMjI4MDA2OjE3MzI3Mjg0Njg6c3BfYXRmOjMwMDIzNTY2MTMxNDIzMjo6MDo6&url=%2FDell-Inspiron-Notebook-i5-1235U-Tastiera%2Fdp%2FB0D188467B%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732728468%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	4.0
"Dell Inspiron 16 5645 Notebook 16"" Schermo FHD+ (1920x1200), AMD Ryzen 7 8840U, Grafica Radeon, 16 GB RAM, 1TB SSD, Windows 11 Home, Lettore di impronte, Tastiera Italiana Retroilluminata"	769,00 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MzIzNTQ1MjMzMjI4MDA2OjE3MzI3Mjg0Njg6c3BfYXRmOjMwMDIzNTY2MTMxNDMzMjo6MDo6&url=%2FDell-Inspiron-Notebook-1920x1200-Retroilluminata%2Fdp%2FB0D186G4HN%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732728468%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	4.4
bvate PC Portatile 14 pollici Notebook Win 11 upto 2.8 GHz 256 GB ROM Supporta l'espansione SSD 1TB Celeron N4020 2.4G+5G WiFi 4.2 USB HDMI Tastiera italiana membrana mouse senza fili-Grigio	199,89 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MzIzNTQ1MjMzMjI4MDA2OjE3MzI3Mjg0Njg6c3BfYXRmOjMwMDM2Njg4MDY3MDkzMjo6MDo6&url=%2Fbvate-Portatile-Notebook-lespansione-fili-Grigio%2Fdp%2FB0D8W92FCM%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732728468%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	4.8
PC Portatile 14 Pollici Computer Portatile Win 11 256 GB ROM Celeron N4020 2.4G+5G WiFi upto 2.8 GHz Supporta l'espansione SSD 1TB 4.2 USB HDMI Tastiera Italiana Membrana Mouse Senza Fili-Argento	199,99 €	Yes	https://www.amazon.it/Portatile-Computer-Supporta-lespansione-Fili-Argento/dp/B0D8W8J3JH/ref=sr_1_5?dib=eyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30&dib_tag=se&keywords=computer&nsdOptOutParam=true&qid=1732728468&sr=8-5	4.8
The Imitation Game	3,99 €	No	https://www.amazon.it/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.55dc9062-f3e7-4949-8c7b-3892098a4c6e%26ref_%3Ddvm_src_ret_it_xx_s&page-type-id=B09B4V9NZJ&ref=sr_1_6&keywords=computer&dib_tag=se&dib=eyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30&qid=1732728468&sr=8-6	4.5
"Acer Chromebook 314 CB314-2H-K227 Notebook, Pc Portatile con Processore MediaTek M8183, Ram 4 GB DDR4, eMMC 64 GB, Display 14"" FHD LED LCD, Scheda Grafica Mali-G72 MP3, ChromeOS, Silver"	179,00 €	Yes	https://www.amazon.it/Acer-Chromebook-CB314-2H-K227-Portatile-Processore/dp/B0CXTDFLNW/ref=sr_1_7?dib=eyJ2IjoiMSJ9.kSnkX3jYSyNblFrFYoH0tT5EVEbPYvvFmKUGLQH3YiXc0ESV-G98ME7eFrch-YfPuXnTUIjcw_kyhy8AbokMGc_kF2EA0xe3qo32uZpPZihRwVkDzV9tvLMzmFLvyMipYbj0xNXTh4HyIk32M_iv7FI6gvcowx71ZGpx3sbI4qvzJmvIGVDjeIZQ68ZMlBzIOVGfbEPm5tb3xHzXieaVa8kTwW6nXIsDZNFkmbQLujDGgs_v2lY4rQ62CfrCaPvNgml0ZWDaqdr6Yg-hJ-cY8_DFqQYwB_PbBJKUOQhNmzI.Ynu7TTjqC1wdiw6BPBxfPzxSwjyHXVZm43iBAiaXG30&dib_tag=se&keywords=computer&nsdOptOutParam=true&qid=1732728468&sr=8-7	4.2
Corsair VENGEANCE LPX DDR4 RAM 32GB (2x16GB) 3200MHz CL16 Intel XMP 2.0 Memoria per computer - Nero (CMK32GX4M2E3200C16)	49,99 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo4MzMyNzQ1MDg0NTkzNzU6MTczMjcyODQ2ODpzcF9zZWFyY2hfdGhlbWF0aWM6OjowOkIwN1JXNlo2OTI6c2VhcmNo&url=%2FCorsair-CMK32GX4M2E3200C16-CORSAIR-VENGEANCE-LPX%2Fdp%2FB07RW6Z692%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%253Aamzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.4uYCT44z-VBQi7BFXMr5t1eWg3WxeJ3J54f4BT9v--XyORHPtjZVHn4q5o7elx2poxT2da9uI_dJlVNRnWkamg.05W2R2_oIwjhjOed0xP_orqiRLW3j-GWUSAmCzrpMdo%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB07RW6Z692%26pd_rd_r%3D9ed98853-09ee-4395-816b-ea325b3e29db%26pd_rd_w%3DD9K6I%26pd_rd_wg%3DbZ1lc%26pf_rd_p%3Dea48cac8-c4fb-47b5-bd35-bf533f3322f7%26pf_rd_r%3D48K72BMZB5EYNC7KSDVB%26qid%3D1732728468%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-da050f4d-60ed-4d5b-91d9-dbfa7be05b60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	4.8
CORSAIR VENGEANCE RGB DDR5 RAM 32GB (2x16GB) 6000MHz CL36 Intel XMP Compatibile con schede madre Intel, iCUE Memoria per Computer - Nero (CMH32GX5M2E6000C36)	107,99 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo4MzMyNzQ1MDg0NTkzNzU6MTczMjcyODQ2ODpzcF9zZWFyY2hfdGhlbWF0aWM6OjoxOkIwQlpIVFZITjU6c2VhcmNo&url=%2FCORSAIR-VENGEANCE-6000MHz-Compatibile-Computer%2Fdp%2FB0BZHTVHN5%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%253Aamzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.4uYCT44z-VBQi7BFXMr5t1eWg3WxeJ3J54f4BT9v--XyORHPtjZVHn4q5o7elx2poxT2da9uI_dJlVNRnWkamg.05W2R2_oIwjhjOed0xP_orqiRLW3j-GWUSAmCzrpMdo%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0BZHTVHN5%26pd_rd_r%3D9ed98853-09ee-4395-816b-ea325b3e29db%26pd_rd_w%3DD9K6I%26pd_rd_wg%3DbZ1lc%26pf_rd_p%3Dea48cac8-c4fb-47b5-bd35-bf533f3322f7%26pf_rd_r%3D48K72BMZB5EYNC7KSDVB%26qid%3D1732728468%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-da050f4d-60ed-4d5b-91d9-dbfa7be05b60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	4.8
Corsair VENGEANCE RGB PRO DDR4 RAM 32GB (2x16GB) 3200MHz CL16 Intel XMP 2.0 Memoria per Computer Compatibile iCUE - Nero (CMW32GX4M2E3200C16)	62,99 €	Yes	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo4MzMyNzQ1MDg0NTkzNzU6MTczMjcyODQ2ODpzcF9zZWFyY2hfdGhlbWF0aWM6OjoyOkIwODFYV0xRS1M6c2VhcmNo&url=%2FCORSAIR-Vengeance-32GB-16GB-3200MHz%2Fdp%2FB081XWLQKS%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%253Aamzn1.sym.ea48cac8-c4fb-47b5-bd35-bf533f3322f7%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.4uYCT44z-VBQi7BFXMr5t1eWg3WxeJ3J54f4BT9v--XyORHPtjZVHn4q5o7elx2poxT2da9uI_dJlVNRnWkamg.05W2R2_oIwjhjOed0xP_orqiRLW3j-GWUSAmCzrpMdo%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB081XWLQKS%26pd_rd_r%3D9ed98853-09ee-4395-816b-ea325b3e29db%26pd_rd_w%3DD9K6I%26pd_rd_wg%3DbZ1lc%26pf_rd_p%3Dea48cac8-c4fb-47b5-bd35-bf533f3322f7%26pf_rd_r%3D48K72BMZB5EYNC7KSDVB%26qid%3D1732728468%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-da050f4d-60ed-4d5b-91d9-dbfa7be05b60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	4.7
